"last_name, first_name",player_id,year,pa,k_percent,bb_percent,xwoba,exit_velocity_avg,whiff_percent,ff_percentage,sl_percentage,ch_percentage,cu_percentage,si_percentage,fc_percentage,fs_percentage,kn_percentage,st_percentage,sv_percentage,fo_percentage,sc_percentage,k_minus_bb_percent,sw_percentage,pitcher_hand,cluster_group,cluster_name
"Freeland, Kyle",607536,2025,709,17.5,5.4,0.342,91.1,21.0,33.4,,5.9,26.1,6.1,15.6,,,12.9,,,,12.1,0.0,R,2,4 seam + 12/6
"Holmes, Clay",605280,2025,708,18.2,9.3,0.322,89.7,22.1,5.4,10.7,15.7,,40.8,8.4,,,19.0,,,,8.899999999999999,0.0,R,7,Big Arsenal
"Kremer, Dean",665152,2025,708,20.1,6.4,0.304,88.1,22.9,26.6,0.1,,12.8,19.3,20.2,21.1,,,,,,13.700000000000001,0.0,R,2,4 seam + 12/6
"Severino, Luis",622663,2025,705,17.6,7.1,0.331,88.3,18.3,28.0,4.0,5.4,,20.2,17.6,,,24.8,,,,10.500000000000002,0.0,R,7,Big Arsenal
"Williams, Gavin",668909,2025,704,24.6,11.8,0.321,90.4,27.7,37.4,,0.1,22.0,6.6,14.0,,,19.9,,,,12.8,0.0,R,2,4 seam + 12/6
"Bello, Brayan",678394,2025,700,17.7,8.4,0.327,88.8,20.1,14.8,,15.0,,35.4,16.0,,,18.8,,,,9.299999999999999,0.0,L,7,Big Arsenal
"Berríos, José",621244,2025,698,19.8,8.0,0.337,90.3,22.0,17.9,,16.8,,33.6,5.8,,,,25.9,,,11.8,0.0,R,7,Big Arsenal
"Hendricks, Kyle",543294,2025,695,16.4,6.2,0.308,86.1,18.3,15.0,,38.4,8.2,38.4,,,,,,,,10.2,0.0,R,8,Changeup Specialist
"Rodriguez, Eduardo",593958,2025,694,20.6,8.6,0.328,88.2,23.0,46.6,3.8,20.5,4.7,8.8,15.6,,,,,,,12.000000000000002,0.0,R,8,Changeup Specialist
"Ryan, Joe",657746,2025,689,28.2,5.7,0.289,90.2,26.1,50.3,9.2,,3.9,12.4,,11.1,,13.1,,,,22.5,0.0,R,7,Big Arsenal
"Yamamoto, Yoshinobu",808967,2025,684,29.4,8.6,0.259,88.3,28.9,35.2,2.8,,17.6,7.8,11.2,25.5,,0.0,,,,20.799999999999997,0.0,R,2,4 seam + 12/6
"Abbott, Andrew",671096,2025,684,21.8,6.3,0.294,87.8,24.0,47.2,,19.6,11.5,,4.3,,,17.4,,,,15.5,0.0,R,2,4 seam + 12/6
"Martinez, Nick",607259,2025,683,17.0,6.1,0.312,88.3,19.9,20.7,10.4,19.8,11.0,17.1,21.0,,,,,,,10.9,0.0,L,7,Big Arsenal
"Flaherty, Jack",656427,2025,681,27.6,8.7,0.31,89.7,27.3,46.9,23.6,2.5,25.4,1.6,,,,,,,,18.900000000000002,0.0,R,2,4 seam + 12/6
"Gore, MacKenzie",669022,2025,679,27.2,9.3,0.322,90.4,29.7,49.3,12.0,10.3,24.0,,4.5,,,,,,,17.9,0.0,L,2,4 seam + 12/6
